StartDate,EndDate,Duration (in seconds),att1_1,att1_2,att1_3,base_mor,base_prac,base_cons,base_know,base_emo,att2_1,att2_2,att2_3,resp1,Th1VA,resp2,Th2VA,resp3,Th3VA,resp4,Th4VA,resp5,Th5VA,resp6,Th6VA,essMoral,essPrac,poli_soc,poli_econ,age,gender,gen_4_TEXT,gen_DO,language,language_10_TEXT,FL_12_DO,AttitudeBases_DO,cond.F,cond
2022/12/2 12:16,2022/12/2 12:24,472,4,3,4,3,4,2,4,3,1,2,-1,instead of using plastics we have to look for alternatives,2,we have to be more aware in the ways of packing products,3,look for biodegradable products that do not require special processes,3,learn as citizens that separating garbage is not the only alternative to caring for the environment,2,NA,NA,NA,NA,5,6,3,3,47,Male,,4|2|1|3,Spanish,,Message- PracticalArguments,base_emo|base_prac|base_mor|base_cons|base_know,Practical Arguement,1
2022/12/2 12:19,2022/12/2 12:24,327,4,4,4,4,4,3,5,4,2,3,2,I believe the world needs to work on better ways to recycle to make it more profitable or not as expensive as it is now,1,We need to create ways of reusing materials and work with less so recycling is the last option,1,Upgrading our ways of working with materials should make it easier to evolve or create new ways to recycle,4,NA,NA,NA,NA,NA,NA,5,7,4,4,26,Female,,1|2|3|4,Spanish,,Message- PracticalArguments,base_cons|base_emo|base_know|base_mor|base_prac,Practical Arguement,1
2022/12/2 12:17,2022/12/2 12:24,454,4,4,4,4,5,4,4,1,-3,-3,-3,all deserved to breath with fresh air,4,working places,4,harmful for environment,4,NA,NA,NA,NA,NA,NA,6,4,3,3,39,Female,,1|2|3|4,Other (specify),ukrainian,Message- PracticalArguments,base_emo|base_know|base_mor|base_cons|base_prac,Practical Arguement,1
2022/12/2 12:16,2022/12/2 12:25,530,4,3,4,4,4,5,5,4,4,4,4,"I disagree with the essay I just read, I string believe in recycling and don't see how it can be considered more harmful than it is good. ",2,Even though it might be harmful to a certain extent it is still one of the greatest ideas to have ever been invented ,2,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4,3,22,Female,,4|1|2|3,English,,Message- PracticalArguments,base_cons|base_emo|base_know|base_prac|base_mor,Moral Arguement,-1
2022/12/2 12:16,2022/12/2 12:25,564,4,4,4,2,3,2,3,3,4,4,4,The arguments againts recycling are bad. The warm to the enviroment are much worse if we do not recicle.,2,"The use of more ""friendly"" trucks is a way to reduce the impact of them",3,Instead of recycling we could teach people to re-use.,3,NA,NA,NA,NA,NA,NA,4,5,3,3,47,Male,,4|3|1|2,Other (specify),Portuguese,Message- PracticalArguments,base_emo|base_prac|base_know|base_cons|base_mor,Moral Arguement,-1
2022/12/2 12:16,2022/12/2 12:25,567,4,4,3,3,3,3,4,2,4,4,3,I find it interesting that the section that describes the harms leaves out the benefits. I am no expert on recycling but this sections seems to be very biased and does not provide a lot of facts. ,2,The person who wrote the section does make points that should probably be looked into but there will be trucks on the road either way and non recycled things get buried and burnt so the pollution is high either way. ,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,3,21,Male,,4|1|2|3,English,,Message- PracticalArguments,base_know|base_emo|base_cons|base_prac|base_mor,Moral Arguement,-1
2022/12/2 12:17,2022/12/2 12:25,534,4,4,4,4,4,1,4,1,4,4,4,"I think not recycling do more damage than recycling, so I'm still supporting recycling programs",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,2,3,23,Female,,2|1|3|4,Spanish,,Message- PracticalArguments,base_emo|base_know|base_prac|base_cons|base_mor,Practical Arguement,1
2022/12/2 12:19,2022/12/2 12:26,389,3,4,4,3,3,2,3,3,-1,-1,-3, I had no idea that recycling was so wasteful of energy and water,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,4,4,40,Male,,4|2|1|3,Other (specify),Polish,Message- PracticalArguments,base_cons|base_emo|base_know|base_prac|base_mor,Practical Arguement,1
2022/12/2 12:16,2022/12/2 12:26,572,4,4,4,4,5,2,4,3,-1,-1,-1,I was definitely surprised to learn how harmful recycling can actually be. During my education in public schools not once we were taught about the disadvantages of recycling. It made me feel a little discouraged since it seems like there isn't much one can do with the already existing waste without harming the environment and the people even more :(,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,1,1,21,Female,,2|1|4|3,Other (specify),Polish,Message- PracticalArguments,base_emo|base_prac|base_mor|base_know|base_cons,Practical Arguement,1
2022/12/2 12:16,2022/12/2 12:26,567,3,3,4,4,4,2,4,4,-1,-1,0,"I am a bit torn, because on one hand recycling has a positive effect, but if it also is causing that many related problems to its process then it becomes morally difficult to practise. ",1,"It also is frustrating that a process that has been talked about being good has those drastic consequences, it begs the question as to what measures have been taken to change it to become more sustainable for animal/human lives",1,"Altough the situation in the essay described is certainly pretty bad, I am not fully aware how the recycling process is done in other areas or countries so I feel like I cant pass a fully knowledgable notion about its practises",3,NA,NA,NA,NA,NA,NA,6,5,1,2,27,Male,,4|1|2|3,Other (specify),Portuguese,Message- PracticalArguments,base_know|base_mor|base_cons|base_prac|base_emo,Moral Arguement,-1
